Field,Namespaced Schema Mapping,Expected Value,Definition,Obligation,S3 Backup Field,OAI-PMH DocumentExport XML Element ,Public Interface HTML/CSS field,Usage Notes,Remediation Notes
NAICS,schema:naics (though it should really apply to the institution not the resource),NAICS number,North American Industry Classification System (NAICS) number for the institution related to the resource.,"{0,1}","fields/field[@name=""naics""]",document/fields/field[@name=naics][@type=string]/value,,Can't use more than one per record for the sake of associated 1 NAICS field with 1 institution (employer?) field.,nothing that doesn't involve re-modeling questions.
Number Workers,"dbpedia-owl:numberOfEmployees (should be applied to the institution, not the resource)",Number or 'unknown',Number of employees at the institution related to the resource.,"{0,1}","fields/field[@name=""number_workers""]",document/fields/field[@name=number_workers][@type=string]/value,,Can't use more than one per record for the sake of associated 1 number of works field with 1 institution (employer?) field.,nothing that doesn't involve re-modeling questions.
Peer Reviewed,"dbpedia-owl:isPeerReviewed (range of this is the Journal, not the article)",true (or empty),Is the resource peer-reviewed?,"{0,1}","fields/field[@name=""peer_reviewed""]",document/fields/field[@name=peer_reviewed][@type=boolean]/value,,Used just for ILR Review and LRR,n/a
Playback Time,ebucore#durationNormalPlayTime,Time in mm:ss,Temporal duration of the related multimedia resource.,"{0,1}","fields/field[@name=""playback_time""]",document/fields/field[@name=playback_time][@type=string]/value,,Used for playback time of the related multimedia.,nothing that doesn't involve re-modeling questions.
Publication Date,dct:created,ISO-encoded date,Date of publication of the resource.,"{0,1}","fields/field[@name=""publication_date""]",document/fields/field[@name=publication_date][@type=date]/value,,"Why is this used instead of publication-date (below)? It is used for all items. It is the same exact value for each field for all records where the field is used (publication-date, below, is used more often than this field). ",Decide why this is used in tandem with publication-date and if this field should be removed?
Publication Date Encoding,n/a (should be inherent in value encoding of publication date field),"MM-DD-YYYY', 'YYYY', 'YYYY-MM-DD'",Format of the publication date.,"{0,1}","fields/field[@name=""publication_date_date_format""]",document/fields/field[@name=publication_date_date_format][@type=string]/value,,"Not sure what purpose this serves, as all of the publication dates are ISO-encoded dates (e.g. 1988-01-01T00:00:00-08:00). So this field is always incorrect? Unless it guides display in some way.",Remove?
Publisher,dct:publisher,Literal (institution name),An entity responsible for making the resource available.,"{0,n}","fields/field[@name=""publisher""]",document/fields/field[@name=publisher][@type=string]/value,,"Currently contains just two values:    9 ILR Cornell Sports Business Society 104 International Ladies' Garment Workers' Union (ILGWU)",n/a
Sector,?,Literal (code or full value for state or local),Sector covered by the contract?,"{0,n}","fields/field[@name=""sector""]",document/fields/field[@name=sector][@type=string]/value,,"Currently used only in BLSContracts. Seems to be the governmental sector the resource (contract) applies to. Values used:    4 L   1 Local 639 Local government   7 Private   1 S 184 State government","Normalize the values used (L, Local => Local government, S => State government)"
Short Title,"dct:alternative (short title properties I've seen are usually for abbreviated titles, which these aren't)",Literal (free text),Shorter version of the title of the resource.,"{0,n}","fields/field[@name=""short_title""]",document/fields/field[@name=short_title][@type=string]/value,,Used primarily in ILR Review or LRR.,n/a
Source FullText URL,dct:source?,URL,"URL for another copy of the resource stored elsewhere - dropbox, a governmental site, etc.","{0,n}","fields/field[@name=""source_fulltext_url""]",document/fields/field[@name=source_fulltext_url][@type=string]/value,,"Used 3 times = twice in condex, once in perbfact.",Should we merge this into another field? 
Special Issue,"rdau:P60317 - ""is special issue of""",yes / no,"""Relates a resource to a serial or newspaper containing a single issue or a supplementary section devoted to a special subject, with or without serial numbering, such as an anniversary number of a periodical or newspaper.""","{0,1}","fields/field[@name=""special_issue""]",document/fields/field[@name=special_issue][@type=string]/value,,Used just for ILR Review.,Any reason to not make the existing field into a boolean? Or migrate to that RDA field instead?
Union,?? Can we capture the relationship of the union and the resource?,Literal (union organizational name),Union covered by the resource in some way.,"{0,n}","fields/field[@name=""union""]",document/fields/field[@name=union][@type=string]/value,,Union names are merged right now in 1 field (name1; name2; etc.).,Normalize and get LCNAF or other controlled vocabulary headings/URIs; split multi-value fields.
Union Local,?? Can we capture the relationship of the local union and the resource?,"Literal (number or city, st)",Union number or city affiliation.,"{0,n}","fields/field[@name=""union_local""]",document/fields/field[@name=union_local][@type=string]/value,,"These are the chapters of the unions named above, represented by either a number or city state.","Should these be merged with the Union headings, above? Otherwise, no way to reliable relate union name in one field and union chapter number in the other field if there are multiple values. Modeling questions about Agents come in here too."
Upload Cover Image,n/a,Literal (either 'upload_image' or 'use_pdf'),?,"{0,1}","fields/field[@name=""upload_cover_image""]",document/fields/field[@name=upload_cover_image][@type=special]/value,,Used with sportsinc and lgw_vol*. Uncertain what this field does. ,n/a
Fulltext URL,schema:url,URL,URL for the resource file (not the object in context/public record for the resource).,"{0,1}",fulltext-url,document/fulltext-url,,"Automatically generated, and points to the stamped.pdf file.",207 records don't have this field at present. Can pull the identifiers for further review/analysis.
Keyword,dc:subject,Literal,Keywords that describe the subject of the resource's content.,"{0,n}",keywords/keyword,document/keywords/keyword,,"The kind of keywords you find from self-deposited and autogenerated resource metadata. Most terms seem to be lower-case, but not all.",Create a dct:subject fields and normalized for better faceted searching (i.e. normalize with FAST)?
Label,dct:identifier (with bepress typing),Number (1-4 digits),I believe this is the same as the Article ID (above).,"{0,1}",label,document/label,,"Uncertain what this is, to be honest. Is in every record. Something bepress auto-generates for record management within collections is my best guess.",n/a
Native URL,? dc:source?,URL,URL that links to downloading the original file submitted. Does not give the filename in the URL. Not present in all records.,"{0,n}",native-url,document/native-url,,"Not used for all records. Thinking this may be just for audiovisual materials, not PDFs.",n/a
Publication Date,dct:datePublished,ISO-encoded date,Date the item was published. Appears to be entered in such a way that generates ISO-encoded date.,"{0,1}",publication-date,document/publication-date,,"Appears for all records. Uncertain if they are allow multiple dates of publication or not (alternatively, a new date of publication would become a new record/resource)",n/a
Publication Title,dct:isPartOf,Literal (collection name),The name of the Bepress collection or set that the resource is a part of.,"{0,1}",publication-title,document/publication-title,,Appears for all records. Perhaps automatically generated.,Uncertain if any cleanup or upkeep needs to happen here for the collection names.
Subject Area,dct:subject,Literal,Subject areas covering the content of the resource.,"{0,n}",subject-areas/subject-area,document/subject-areas/subject-area,,Multiple subject areas put into one field. Only appears to have been used in 1 collection (workplace). Multiple values put into 1 field.,"Split multi-value fields, normalize against some controlled vocab - either for classification purposes, or more general subject headings."
Submission Date,dct:dateSubmitted,ISO-encoded date,Date the item was submitted to Bepress.,"{0,1}",submission-date,document/submission-date,,Autogenerated for all records.,n/a
Submission Path,?,Relative subdirectory,"Subdirectory in the Bepress application/backup files where the resource's metadata XML file, original file, supplemental files, and stamped.pdf live.","{0,1}",submission-path,document/submission-path,,Autogenerated for all records.,Use to find the exact location of the filenames for the original files to be saved and submitted to CULAR.
Supplemental File Archive Name,dc:title (for the supplemental file),Filename,Filename for the supplemental file. ,"{0,1}","supplemental-files/file[@name=""archive_name""]",document/supplemental-files/file/archive-name,,"Stored for supplemental files, but not for the original files.",Use these also to queue up files for include in CULAR.
Supplemental File Description,dc:description (for the supplemental file),Literal (free text),Description or notes about the supplemental file.,"{0,n}","supplemental-files/file[@name=""description""]",document/supplemental-files/file/description,,Sometimes includes the filename again.,n/a
Supplemental File MIME Type,dc:format (for the supplemental file),Literal (MIME Type value),MIME Type for the supplemental file.,"{0,1}","supplemental-files/file[@name=""mime-type""]",document/supplemental-files/file/mime-type,,MIME Type values mostly.,Clean up some stray values that aren't MIME Types showing up here.
Supplemental File Upload Name,dc:source (for the supplemental file),Filename,Filename for the supplemental file as uploaded.,"{0,1}","supplemental-files/file[@name=""upload-name""]",document/supplemental-files/file/upload-name,,"Largely the same as the Filename/title, above. ",n/a
Supplemental File URL,schema:url (for the supplemental file),URL,URL for the resource file (not the object in context/public record for the resource).,"{0,1}","supplemental-files/file[@name=""url""]",document/supplemental-files/file/url,,"Automatically generated, and points to the uploaded supplemental file.",n/a
Title,dct:title,Literal (title),Title of the resource.,"{0,1}",title,document/title,,Title of the resource. Does Bepress support more than 1 title?,"Lots of the values have HTML, badly encoded characters in there. Can we clean this up?"
Type,dct:type,Literal (type),Type/form of the resource.,"{0,n}",type,document/type,,All have type 'Article'. ,"We have the Document-type field covering this; so can this field instead become the DCMI Type? I.e. Text, Audio, etc."
Withdrawn,n/a,Boolean (only True is captured),If the resource is withdrawn.,"{0,1}",withdrawn,n/a (oai header deleted?),,n/a,n/a
,,,,,,,,,
Filename,ebucore:filename,Filename,Filename for the file originally submitted.,"{0,1}",n/a,n/a,,Pulled from S3 backup directory structure.,Use for CULAR backups.
